Country/Territories,Currency,Currency Code,Currency Units per £1,Start date,End date
Abu Dhabi,Dirham,AED,4.8517,01/10/2024,31/10/2024
Albania,Lek,ALL,117.9235,01/10/2024,31/10/2024
Algeria,Dinar,DZD,174.7970,01/10/2024,31/10/2024
Angola,Readj Kwanza,AOA,1240.7727,01/10/2024,31/10/2024
Antigua,E Caribbean Dollar,XCD,3.5695,01/10/2024,31/10/2024
Argentina,Peso,ARS,1270.0377,01/10/2024,31/10/2024
Armenia,Dram,AMD,509.0178,01/10/2024,31/10/2024
Aruba,Florin,AWG,2.3648,01/10/2024,31/10/2024
Australia,Dollar,AUD,1.9465,01/10/2024,31/10/2024
Azerbaijan,New Manat,AZN,2.2458,01/10/2024,31/10/2024
Bahamas,Dollar,BSD,1.3211,01/10/2024,31/10/2024
Bahrain,Dinar,BHD,0.4967,01/10/2024,31/10/2024
Bangladesh,Taka,BDT,157.8947,01/10/2024,31/10/2024
Barbados,Dollar,BBD,2.6422,01/10/2024,31/10/2024
Belarus,Rouble,BYN,4.3201,01/10/2024,31/10/2024
Belize,Dollar,BZD,2.6741,01/10/2024,31/10/2024
Benin,CFA Franc,XOF,779.0324,01/10/2024,31/10/2024
Bermuda,Dollar (US),BMD,1.3211,01/10/2024,31/10/2024
Bhutan,Ngultrum,BTN,110.5997,01/10/2024,31/10/2024
Bolivia,Boliviano,BOB,9.1392,01/10/2024,31/10/2024
Bosnia- Herzegovinia,Marka,BAM,2.3228,01/10/2024,31/10/2024
Botswana,Pula,BWP,17.4757,01/10/2024,31/10/2024
Brazil,Real,BRL,7.2441,01/10/2024,31/10/2024
Brunei,Dollar,BND,1.7093,01/10/2024,31/10/2024
Bulgaria,Lev,BGN,2.3228,01/10/2024,31/10/2024
Burkina Faso,CFA Franc,XOF,779.0324,01/10/2024,31/10/2024
Burundi,Franc,BIF,3831.3892,01/10/2024,31/10/2024
Cambodia,Riel,KHR,5361.9614,01/10/2024,31/10/2024
Cameroon Republic,CFA Franc,XAF,779.0324,01/10/2024,31/10/2024
Canada,Dollar,CAD,1.7949,01/10/2024,31/10/2024
Cape Verde Islands,Escudo,CVE,130.9597,01/10/2024,31/10/2024
Cayman Islands,Dollar,KYD,1.0847,01/10/2024,31/10/2024
Central African Republic,CFA Franc,XAF,779.0324,01/10/2024,31/10/2024
Chad,CFA Franc,XAF,779.0324,01/10/2024,31/10/2024
Chile,Peso,CLP,1230.4787,01/10/2024,31/10/2024
China,Yuan,CNY,9.3578,01/10/2024,31/10/2024
Colombia,Peso,COP,5554.4780,01/10/2024,31/10/2024
Comoros,Franc,KMF,584.2743,01/10/2024,31/10/2024
